237,1209,4.179929,1109970597
204,1617,4.261854,1226321441
5,1580,4.258089,949919978
474,89745,4.444096,1425643497
548,1923,3.563385,1000729826
389,785,3.468741,946509305
464,1544,2.676702,1050439528
608,32,3.929016,1113319713
213,58299,3.160568,1228374469
518,2,4.034629,846450065
314,364,3.891004,1101033255
600,2136,3.710349,1306107948
164,153,2.082219,1390767109
546,110,4.141967,938568473
16,7346,2.569776,1465954961
76,2707,3.783328,1143048602
481,1059,3.802207,1339455255
166,539,2.960019,1111981315
223,3566,3.759276,960919546
453,1269,3.783994,989112182
68,609,3.745116,854711916
84,5902,4.246209,1156206646
233,1580,3.930250,955086826
522,858,4.465530,1370072258
398,2989,3.531292,1268904333
402,1215,4.386423,977458248
359,2054,2.532178,957481256
627,2888,3.011580,974769117
510,1228,4.001604,939326537
194,2145,4.019117,971216703
548,6620,3.648340,1099106625
548,1248,3.940960,974779724
312,2918,3.548000,1077052514
577,435,3.471046,1005426349
312,4585,3.368713,1093022303
16,106916,3.260187,1416120141
389,2639,3.778775,946528997
263,344,2.324910,1433900945
599,296,4.163452,1008571588
462,420,2.320695,1091049709
272,1375,3.244394,1107785121
586,940,4.252706,975365053
378,1848,2.983341,1187053762
418,2109,3.957518,1112587403
453,6385,3.498379,1133735157
286,288,3.075188,965091512
418,3551,3.918035,1112672411
106,2762,3.749461,1086960054
548,804,3.107908,1145756452
464,3623,2.664137,1051214702
74,61024,3.411040,1457597334
604,1320,3.599437,868356377
493,1625,3.839445,898107529
453,4326,3.716786,1002940480
581,2699,2.868999,1165292693
233,3468,4.106479,955092512
16,2232,3.256814,997938466
597,5952,3.934503,1138658336
473,2951,3.861912,944061874
233,520,3.608062,955091901
294,4306,3.869483,1064617001
24,36535,3.581544,1148728385
406,2115,3.825947,1097769338
9,2502,4.050773,1154464889
323,910,4.151630,974697728
123,1,3.168978,832773057
381,1682,3.836863,949374401
403,31696,3.563428,1443394691
359,344,2.611712,957795265
312,2762,3.484284,1076968716
16,1997,3.315868,997938255
544,1460,3.973243,866932056
221,3702,3.886783,970595195
158,88163,3.590070,1344509722
233,3296,3.876661,955085053
510,4979,3.793499,1037842602
503,750,4.300934,861322481
588,2959,4.057741,1111370861
5,2124,3.993060,949919763
197,2906,3.229884,959224316
606,1033,3.374683,980177649
472,594,3.819469,1239658699
120,2411,2.919103,913233296
389,2560,3.856768,965182512
558,3271,2.535283,1285960574
196,2132,3.653886,977755058
634,161,3.458606,848518115
312,95,2.956923,898008040
461,2490,3.775449,1072838804
71,711,4.052629,853954656
26,1409,3.130365,859625845
34,2891,3.174372,1032859119
190,2995,2.166720,968093085
469,53322,2.581300,1296197069
231,56715,4.374500,1424847021
389,3452,3.209690,965181589
300,51380,4.171687,1344182149
359,3497,3.627466,957481199
526,2105,3.954449,1024929048
154,1777,3.256102,1046739964
514,527,4.197540,843771936
23,555,3.555054,1131663369
57,56174,3.565925,1470350845
296,2081,3.964448,1112545252
655,597,3.791560,1145391843
381,802,3.137319,949384786
154,4886,4.329195,1046739947
244,552,3.224711,1094224559
538,1104,4.097911,879502709
24,3168,3.827451,1148672142
554,102123,3.711664,1423011755
269,3623,2.822677,1314895144
570,2006,3.601971,965068186
439,1682,4.455157,1472551045
106,458,3.281961,1085640697
221,480,3.764482,970503606
354,4489,2.803033,1113054646
666,2628,3.176108,1010197561
553,377,2.826409,843322618
112,4975,2.969984,1097431446
353,68157,4.064514,1420521137
545,1680,4.222355,1435790608
208,44,1.513046,1258439788
24,1263,3.942354,1148778787
565,2616,3.046368,974839236
391,52,3.472068,867072918
440,4489,2.937073,1041115325
565,2269,3.265160,974843382
82,31930,3.947183,1307180362
22,1031,3.410907,853852140
511,1230,3.767060,952328805
660,194,3.928868,834598281
284,7153,3.912390,1165210601
267,587,3.407377,840703344
413,1760,2.616742,993092421
510,1186,3.809339,940015597
201,63113,3.062863,1438019495
526,788,3.342018,1024929440
295,1064,3.377557,1047072640
288,95313,4.545259,1470888625
604,442,3.297548,868356767
294,1717,2.972396,1064615907
346,4370,3.660595,1106948998
364,1760,2.932347,942345331
423,377,3.699335,980860586
482,32,4.323487,1437001138
31,6115,3.458716,1043687014
642,64,3.435420,834802028
625,99992,2.881613,1374953846
613,61024,3.642609,1455642959
275,345,3.281413,1074104302
417,288,3.143525,841446684
397,533,3.215741,834999054
293,6944,3.756316,1140050749
565,535,3.960146,974712294
244,5388,3.017682,1100510434
120,1965,3.360583,945995181
565,324,3.380298,974837128
188,1097,3.834819,1228072722
